id,y_2011,y_2012
1,1665,186
2,796,1328
3,886,674
4,467,666
5,1224,221
6,338,359
7,883,516
8,1190,960
9,1310,1189
10,1746,1048
11,757,657
12,197,750
13,1160,786
14,654,754
15,684,1024
16,820,371
17,980,959
18,375,263
19,562,141
20,227,338
21,1385,888
22,526,1649
23,312,1448
24,724,1479
25,368,1424
26,1301,601
27,684,170
28,1110,352
29,1206,854
30,982,217
31,1060,1083
32,805,1385
33,1225,532
34,330,510
35,973,477
36,970,552
37,232,1158
38,512,1439
39,291,1064
40,272,1367
41,1644,1021
42,521,807
43,360,310
44,1057,719
45,745,1166
46,333,1645
47,769,1335
48,476,655
49,358,1147
50,369,747
51,688,1518
52,358,1067
53,362,1247
54,583,937
55,540,1028
56,164,852
57,1638,1139
58,279,696
59,262,985
60,713,2198
61,455,336
62,702,972
63,798,1039
64,383,124
65,313,512
66,534,907
67,188,501
68,1058,280
69,592,390
70,1881,1625
71,706,582
72,858,480
73,1789,1292
74,296,1391
75,444,1226
76,400,676
77,920,337
78,785,752
79,407,398
80,138,838
81,430,869
82,946,824
83,332,775
84,1855,2534
85,758,922
86,765,1095
87,169,369
88,1005,251
89,704,711
90,562,374
91,537,303
92,1046,280
93,1485,771
94,812,521
95,223,180
96,1304,758
97,873,1753
98,581,152
99,747,120
100,1668,54
101,1496,507
102,1334,568
103,845,487
104,199,178
105,718,1768
106,605,1064
107,224,749
108,994,284
109,816,1400
110,1584,688
111,195,1306
112,1029,308
113,1015,1011
114,1281,354
115,1020,1109
116,713,168
117,1148,361
118,1628,287
119,600,685
120,1648,1669
121,1136,895
122,664,401
123,1029,464
124,2163,860
125,609,1492
126,615,931
127,889,708
128,1067,411
129,1389,737
130,633,1878
131,802,700
132,2658,930
133,693,1887
134,1153,2060
135,404,1642
136,981,813
137,322,826
138,1030,755
139,193,331
140,328,408
141,481,506
142,799,680
143,1611,744
144,961,646
145,819,1384
146,1015,271
147,911,902
148,882,1393
149,1664,290
150,209,1046
151,63,144
152,24,1014
153,276,158
