id,y_2010,y_2011,y_2012,y_2013,y_2014
370630001011,932.9172446,975.1711547,1039.357881,1148.372911,1015.465266
370630001012,,,954.0772339,934.3579595,1018.010292
370630001021,891.7591308,920.9949795,946.0821733,,903.4841338
370630001022,932.9172446,1029.34733,1012.707678,766.2779244,763.5077187
370630002001,1012.489598,,,1357.167986,
370630002002,,595.9379279,,,
370630002003,,,799.506062,,916.2092624
370630003011,,1191.875856,,1304.969217,1272.512864
370630003012,987.7947295,,,1043.975374,1323.413379
370630003013,,1137.699681,,428.0299033,1114.721269
370630003021,,,,1769.538259,1527.015437
370630003022,,,,655.0945471,1425.214408
370630003023,,785.5545413,,887.3790677,661.7066895
370630004011,1097.549699,2004.518485,1119.308487,1357.167986,1521.925386
370630004012,466.4586223,525.5089,517.0139201,1057.025066,1196.162093
370630004013,1531.081831,,1545.71172,1670.360598,1476.114923
370630004021,1317.059639,1801.357827,,1722.559367,1018.010292
370630005001,982.306981,1078.105888,,,
370630005002,,,,1461.565523,
370630005003,,,719.5554558,751.6622691,
370630005004,,644.6964856,,702.0734389,
370630006001,1012.489598,1002.259242,922.0969915,1169.252419,1272.512864
370630006002,1369.19325,1134.990872,1359.160305,934.3579595,802.1921098
370630006003,,,,2609.938434,
370630007001,,,,782.9815303,1018.010292
370630007002,875.2958853,866.8188042,,1148.372911,
370630007003,,1405.871748,1276.544679,1748.658751,1361.588765
370630009001,,717.8343222,,574.1864556,381.7538593
370630009002,,,692.9052537,730.7827617,1521.925386
370630010011,795.7235321,,799.506062,963.0672823,890.7590051
370630010012,658.5298197,704.2902784,,751.6622691,432.6543739
370630010013,,,,730.7827617,839.8584906
370630010021,,861.4011867,823.4912438,848.2299912,
370630010022,792.9796579,704.2902784,,678.583993,
370630010023,982.306981,,,,839.8584906
370630010024,,427.9917846,421.0731926,574.1864556,559.9056604
370630011001,,893.9068918,,730.7827617,1145.261578
370630011002,872.5520111,861.4011867,799.506062,835.180299,1119.811321
370630013011,762.7970411,785.5545413,823.4912438,782.9815303,1043.460549
370630013031,762.7970411,861.4011867,,782.9815303,1348.863636
370630013032,,934.5390233,932.7570723,887.3790677,763.5077187
370630013041,,,1007.377638,574.1864556,620.9862779
370630014001,,,,,
370630014002,,677.2021908,,782.9815303,
370630015011,,,,,
370630015021,872.5520111,,,,
370630015022,1042.672215,1836.572341,1646.982488,2082.730871,
370630015023,1810.957004,,,1565.963061,1934.219554
370630015024,,,,,
370630015031,,,,,
370630016011,1948.150717,2083.073939,2126.686125,,1327.48542
370630016012,1341.754508,1300.228206,1199.259093,1304.969217,1216.522298
370630016013,,1273.140119,,1200.57168,
370630016031,982.306981,,1273.879659,,1249.607633
370630016032,1646.324549,2004.518485,1705.612932,1354.558047,1476.114923
370630016033,,,1364.490346,1216.23131,1318.323328
370630016034,,,2451.81859,1096.174142,2188.722127
370630016041,1371.937124,1300.228206,1276.544679,1665.140721,1221.61235
370630016042,,1679.461433,1439.110912,2087.950748,1476.114923
370630016043,1750.591771,1619.86764,1593.682084,1017.875989,1450.664666
370630017051,1317.059639,1162.078959,1036.69286,1351.948109,1216.522298
370630017052,,,,1513.764292,1247.062607
370630017053,,1023.929712,970.0673552,,1018.010292
370630017061,1262.182154,1286.684162,946.0821733,1318.018909,1360.06175
370630017062,982.306981,1042.891374,932.7570723,978.7269129,992.5600343
370630017071,,1622.576449,,1252.770449,1056.185678
370630017072,1070.110957,1292.10178,1169.943871,1269.996042,1832.418525
370630017073,1948.150717,1078.105888,,,
370630017074,1317.059639,1525.059334,1279.209699,1067.46482,1244.517581
370630017075,,1110.611593,1273.879659,2711.726033,
370630017081,1042.672215,1367.948425,1172.608891,1226.671064,1119.811321
370630017091,,,838.948361,861.2796834,814.4082333
370630017092,823.1622746,,,887.3790677,967.109777
370630017093,1289.620897,1256.887266,1225.909295,1197.961741,1247.062607
370630017101,987.7947295,1246.052031,1279.209699,1030.925682,1101.996141
370630017102,1124.988442,1029.34733,932.7570723,1143.153034,738.0574614
370630017111,,,,1304.969217,1127.446398
370630017112,,891.1980831,954.0772339,934.3579595,661.7066895
370630017113,754.5654184,704.2902784,799.506062,730.7827617,661.7066895
370630018011,982.306981,1237.925605,1279.209699,1252.770449,1272.512864
370630018012,,,799.506062,1200.57168,1170.711835
370630018013,905.4785021,1078.105888,1012.707678,1038.755497,1234.337479
370630018014,,948.0830671,1039.357881,1148.372911,1018.010292
370630018015,,,,,
370630018021,631.0910772,568.8498403,,,559.9056604
370630018022,1042.672215,,1060.678042,991.7766051,801.6831046
370630018023,1042.672215,1029.34733,879.4566682,876.939314,926.3893654
370630018024,,,,960.4573439,
370630018061,1201.816921,1083.523505,1279.209699,,1119.811321
370630018062,1344.498382,1319.189868,1279.209699,1252.770449,1245.026587
370630018071,1262.182154,1191.875856,1303.194881,1247.550572,1219.067324
370630018072,1231.999538,1297.519398,1225.909295,1278.869833,1221.61235
370630018073,1092.061951,1134.990872,1172.608891,1226.671064,1216.522298
370630018081,1421.326861,1432.959836,1412.460709,1393.707124,1336.138508
370630018082,1591.447064,1619.86764,1806.8837,1667.75066,1679.716981
370630018091,1262.182154,1151.243724,1279.209699,1200.57168,1297.963122
370630018092,1231.999538,1511.51529,1492.411316,1618.161829,1473.569897
370630019001,987.7947295,,,939.5778364,1323.413379
370630019002,1317.059639,1403.162939,1356.495285,1357.167986,1348.863636
370630020071,919.1978733,1381.492469,1439.110912,1171.862357,1781.51801
370630020072,1317.059639,1107.902784,1572.361922,1304.969217,1527.015437
370630020073,768.2847896,1283.975354,972.7323754,1080.514512,1057.203688
370630020081,2743.874249,2383.751712,,,
370630020082,1725.896902,1828.445915,1942.799731,1478.269129,1399.764151
370630020091,768.2847896,1029.34733,906.1068702,929.1380827,1048.5506
370630020092,,1186.458238,,1143.153034,954.3846484
370630020093,1207.304669,975.1711547,906.1068702,918.6983289,
370630020131,1116.208044,1137.699681,1039.357881,1247.550572,1117.266295
370630020132,,812.6426289,799.506062,934.3579595,788.957976
370630020133,1531.081831,1327.316294,1332.510103,1252.770449,1389.584048
370630020151,1152.427184,1246.052031,1164.61383,1252.770449,1244.517581
370630020152,1371.937124,,1225.909295,1122.273527,1374.313894
370630020153,,,,,
370630020161,,,,,
370630020162,,1381.492469,1225.909295,934.3579595,1514.290309
370630020171,1618.885807,2329.575536,2609.054782,2609.938434,2074.195969
370630020172,1660.04392,2004.518485,1630.992366,1445.905893,1420.124357
370630020173,1124.988442,1836.572341,2022.750337,1141.065084,1804.423242
370630020181,2634.119279,3250.570516,1905.489448,2072.291117,3817.538593
370630020182,1097.549699,920.9949795,1276.544679,1251.726473,1221.61235
370630020183,1199.073047,1462.756732,1545.71172,1304.969217,1323.413379
370630020191,905.4785021,893.9068918,906.1068702,887.3790677,865.3087479
370630020192,932.9172446,1232.507987,1172.608891,1043.975374,1145.261578
370630020193,1536.569579,1324.607485,1758.913336,1826.956904,1371.768868
370630020201,1481.692094,1728.219991,1700.282892,1722.559367,1756.067753
370630020202,2189.61165,1950.342309,1866.580153,1931.354442,1985.120069
370630020211,1328.035136,1094.35874,1678.96273,1200.57168,1142.716552
370630020212,1585.959316,1354.404382,1279.209699,1693.850044,1365.151801
370630020221,1371.937124,1354.404382,1247.229457,1299.74934,1420.124357
370630020222,1371.937124,1489.84482,1500.406376,1456.345646,1397.219125
370630020231,1673.763292,1511.51529,1918.814549,1409.366755,1318.323328
370630020232,1371.937124,1462.756732,1622.997306,1328.458663,1323.413379
370630020241,1262.182154,1294.810589,1249.894477,1318.018909,1420.124357
370630020242,861.5765141,1083.523505,1060.678042,1224.061126,1145.261578
370630020243,1317.059639,1164.787768,1167.27885,1218.319261,1145.261578
370630020251,1481.692094,1378.78366,1449.770992,1513.764292,1527.015437
370630020252,1371.937124,1218.963943,1492.411316,1017.875989,1371.768868
370630020253,1097.549699,1162.078959,1089.993264,1200.57168,1038.370497
370630020261,1207.304669,1110.611593,1066.008083,1250.16051,1216.522298
370630020262,1152.427184,1137.699681,1212.584194,1200.57168,1216.522298
370630020271,,1246.052031,1225.909295,1276.259894,1129.991424
370630020272,1262.182154,1246.052031,1399.135608,1247.550572,1323.413379
370630020273,,,,,
370630020281,1317.059639,1378.78366,1332.510103,1378.047493,1318.323328
370630020282,850.6010171,,938.0871127,1641.651275,809.3181818
370630020283,1256.694406,1246.052031,1380.480467,1380.657432,1387.039022
370630021001,1970.101711,2004.518485,2022.750337,1879.155673,2033.475557
370630021002,,1083.523505,,1409.366755,
370630021003,1536.569579,1516.932907,,1722.559367,
370630022001,,1083.523505,1279.209699,1382.745383,1527.015437
370630023001,,,,725.5628848,738.0574614
370630023002,,,,,712.6072041
370639801001,,,,,
