id,y_2011,y_2013
1,11.6,6.2
2,8.7,4
3,2.3,2.5
4,9.2,9.7
5,8.8,11.4
6,5.8,4.8
7,2.5,5.3
8,8.7,4.3
9,7.7,11.9
10,3.1,3.7
11,6.4,6
12,7.7,2.9
13,7.4,7.2
14,4.2,10.5
15,3.4,6.1
16,8.8,1.9
17,1.7,0.9
18,2.3,2.7
19,5.6,3.9
20,6.6,3.8
21,4.7,6.6
22,5,4.7
23,10.4,2.9
24,12.7,6.7
25,7.4,6.2
26,9.8,9.1
27,6.7,9.2
28,8.5,7.3
29,10.6,6.2
30,8.2,9.4
31,19.5,12.6
32,3.2,12
33,6.7,4.8
34,21.7,26
35,5.4,4.1
36,5.9,13.2
37,22.5,10.7
38,7.2,4.1
39,9.6,6.4
40,0.3,0.3
41,6.5,3.3
42,8.2,5.8
43,15.3,16.6
44,3.4,10.8
45,0.3,0.2
46,3,1.9
47,3.6,3.2
48,2,1.2
49,2,1.6
50,0.2,0.2
51,21.7,13.4
52,4.9,4.7
53,10.8,13.9
54,19,14.7
55,4.9,3
56,7.6,8.5
57,5.1,5.4
58,8,5.9
59,4.7,4.5
60,4.5,3.8
61,8.9,4.7
62,6,10.7
63,5.6,10.5
64,4.1,1.9
65,5.4,5.9
66,23.2,31.3
67,8.5,4.8
68,10.1,8.4
69,11.1,12
70,8.7,8
71,2,2.1
72,19.3,12.3
73,7.2,12.2
74,3.9,3.4
75,4.6,3.3
76,6.3,3.4
77,2.2,2.6
78,5.1,9.3
79,8.3,5
80,4.3,8.6
81,15.1,2
82,7,9.1
83,15.9,9.3
84,14.9,18.3
85,7.1,5
86,6.9,7.7
87,6.1,3.9
88,14.9,21.4
89,9.3,5.4
90,1.4,3.1
91,3.5,5.2
92,5.8,3.3
93,2.6,2.8
94,4.3,6.5
95,4.2,2
96,3.1,5.6
97,4.2,5.3
98,11.8,8.7
99,2.4,2.1
100,4.4,8.6
101,5.4,6.6
102,13.4,20.3
103,6.1,5.2
104,1.5,3.7
105,9.4,8.8
106,19.3,24.8
107,6.9,6.4
108,5.8,7.1
109,4.8,12.3
110,5.1,5.2
111,2.1,1.1
112,2.6,1.6
113,27.8,29.6
114,2,2.8
115,2.5,3.4
116,6,4
117,5.7,4.9
118,4.3,4.8
119,6,4.2
120,2.4,2.4
121,4.4,9.4
122,3.8,2.6
123,2,2.2
124,6.7,6.7
125,2,3.6
126,1.3,2.2
127,1.7,4.6
128,8.7,11.7
129,3.8,2.6
130,5.3,10.9
131,4.8,1.1
132,8,7.7
133,3,4.9
134,5.1,3.6
135,9.1,9.3
136,2.7,3.1
137,4.8,3.5
138,3.9,6.8
139,8,3.2
140,2.9,3.4
141,3.1,1.5
142,2.4,2.8
143,6,5
144,4.6,4.2
145,5,1.8
146,1.6,2.2
147,7.5,10.1
148,1.5,1.9
149,3.2,4.3
150,2,1.4
151,9.4,9.8
152,4.6,5.8
153,0.1,0.3
